Warning: {
	Model use is disabled for problem with categorical variables.
} 
Warning: {
	Default anisotropic mesh is disabled with categorical and binary variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	2471	(	2 0 4091.7061404988 2 5908.2938545806 )	53.7844767353 (ExtendedPoll#36)
	2480	(	2 0 4091.7061392073 2 5908.2938580748 )	53.7844767152 (ExtendedPoll#36)
	2485	(	2 0 4091.7061402086 2 5908.2938596455 )	53.7844766917 (ExtendedPoll#36)
	2502	(	2 0 4996.9428758120 2 5002.4361458373 )	55.8956087809 (ExtendedPoll#37)
	2503	(	2 0 4987.7715032480 2 5009.7445833492 )	55.8775091797 (ExtendedPoll#37)
	2504	(	2 0 4951.0860129922 2 5038.9783333968 )	55.8077152532 (ExtendedPoll#37)
	2505	(	2 0 4804.3440519688 2 5155.9133335874 )	55.5714059083 (ExtendedPoll#37)
	2506	(	2 0 4217.3762078751 2 5623.6533343496 )	55.3875012518 (ExtendedPoll#37)
	2508	(	2 0 4161.4745084376 2 5735.4567332245 )	54.7792090326 (ExtendedPoll#37)
	2512	(	2 0 4301.2287570313 2 5616.6656219199 )	54.7199123025 (ExtendedPoll#37)
	2518	(	2 0 4362.3712407911 2 5630.6410467792 )	54.0447637843 (ExtendedPoll#37)
	2523	(	2 0 4360.6789041870 2 5638.2565614975 )	53.9822178137 (ExtendedPoll#37)
	2527	(	2 0 4357.7855545091 2 5640.8837775966 )	53.9807745427 (ExtendedPoll#37)
	2528	(	2 0 4349.1055054753 2 5648.7654258937 )	53.9766818176 (ExtendedPoll#37)
	2529	(	2 0 4314.3853093403 2 5680.2920190824 )	53.9638836443 (ExtendedPoll#37)
	2531	(	2 0 4293.8589040781 2 5703.8755485326 )	53.9100589240 (ExtendedPoll#37)
	2537	(	2 0 4288.6181197559 2 5709.6895436401 )	53.8988093078 (ExtendedPoll#37)
	2541	(	2 0 4286.0250233464 2 5712.6101890697 )	53.8928738710 (ExtendedPoll#37)
	2542	(	2 0 4278.2457341180 2 5721.3721253585 )	53.8753278023 (ExtendedPoll#37)
	2551	(	2 0 4278.6875840983 2 5721.1643151240 )	53.8734640832 (ExtendedPoll#37)
	2555	(	2 0 4278.5548371810 2 5721.3692198536 )	53.8726233086 (ExtendedPoll#37)
	2563	(	2 0 4278.5803407327 2 5721.3524598889 )	53.8725625799 (ExtendedPoll#37)
	2564	(	2 0 4278.6568513877 2 5721.3021799948 )	53.8723804067 (ExtendedPoll#37)
	2569	(	2 0 4278.6854324587 2 5721.3128786333 )	53.8720225267 (ExtendedPoll#37)
	2577	(	2 0 4278.6872107890 2 5721.3121890539 )	53.8720135829 (ExtendedPoll#37)
	2579	(	2 0 4278.6834607716 2 5721.3160673533 )	53.8720086108 (ExtendedPoll#37)
	2580	(	2 0 4278.6722107195 2 5721.3277022515 )	53.8719936947 (ExtendedPoll#37)
	2589	(	2 0 4278.6723989724 2 5721.3275559496 )	53.8719934685 (ExtendedPoll#37)
	2591	(	2 0 4278.6719110434 2 5721.3280214306 )	53.8719932064 (ExtendedPoll#37)
	2592	(	2 0 4278.6704472565 2 5721.3294178739 )	53.8719924200 (ExtendedPoll#37)
	2593	(	2 0 4278.6645921088 2 5721.3350036468 )	53.8719892745 (ExtendedPoll#37)
	2594	(	2 0 4278.6411715181 2 5721.3573467387 )	53.8719766944 (ExtendedPoll#37)
	2595	(	2 0 4278.5474891555 2 5721.4467191061 )	53.8719264022 (ExtendedPoll#37)
	2596	(	2 0 4278.1727597049 2 5721.8042085755 )	53.8717256857 (ExtendedPoll#37)
	2597	(	2 0 4276.6738419026 2 5723.2341664534 )	53.8709300560 (ExtendedPoll#37)
	2598	(	2 0 4270.6781706935 2 5728.9539979649 )	53.8678634044 (ExtendedPoll#37)
	2599	(	2 0 4246.6954858570 2 5751.8333240110 )	53.8574561057 (ExtendedPoll#37)
	2600	(	2 0 4150.7647465111 2 5843.3506281954 )	53.8459142947 (ExtendedPoll#37)
	2603	(	2 0 4151.0319463303 2 5843.7593181024 )	53.8396594450 (ExtendedPoll#37)
	2604	(	2 0 4151.8335457878 2 5844.9853878233 )	53.8208980002 (ExtendedPoll#37)
	2605	(	2 0 4153.3279881922 2 5846.2426983850 )	53.7955624715 (ExtendedPoll#37)
	2609	(	2 0 4153.1058903377 2 5846.6776178033 )	53.7935050825 (ExtendedPoll#37)
	2611	(	2 0 4152.8591623323 2 5847.0989959699 )	53.7917987292 (ExtendedPoll#37)
	2620	(	2 0 4152.8542659569 2 5847.1291180913 )	53.7915611730 (ExtendedPoll#37)
	2622	(	2 0 4152.9186835311 2 5847.0716643992 )	53.7915145196 (ExtendedPoll#37)
	2626	(	2 0 4152.8895239414 2 5847.1034820926 )	53.7914812417 (ExtendedPoll#37)
	2631	(	2 0 4152.8811001224 2 5847.1162049217 )	53.7914385729 (ExtendedPoll#37)
	2634	(	2 0 4152.8973868388 2 5847.1020486033 )	53.7914233161 (ExtendedPoll#37)
	2643	(	2 0 4152.8955121262 2 5847.1039880394 )	53.7914221706 (ExtendedPoll#37)
	2644	(	2 0 4152.8898879885 2 5847.1098063475 )	53.7914187344 (ExtendedPoll#37)
	2652	(	2 0 4152.8896638419 2 5847.1102272180 )	53.7914168283 (ExtendedPoll#37)
	2661	(	2 0 4152.8897034201 2 5847.1102717856 )	53.7914160520 (ExtendedPoll#37)
	2665	(	2 0 4152.8897151731 2 5847.1102626252 )	53.7914160311 (ExtendedPoll#37)
	2666	(	2 0 4152.8897504319 2 5847.1102351440 )	53.7914159684 (ExtendedPoll#37)
	2670	(	2 0 4152.8897404990 2 5847.1102462518 )	53.7914159546 (ExtendedPoll#37)
	2671	(	2 0 4152.8897107004 2 5847.1102795751 )	53.7914159130 (ExtendedPoll#37)
	2675	(	2 0 4152.8897044864 2 5847.1102931188 )	53.7914158426 (ExtendedPoll#37)
	2681	(	2 0 4152.8897024353 2 5847.1102962286 )	53.7914158321 (ExtendedPoll#37)
	2686	(	2 0 4152.8897041880 2 5847.1102955980 )	53.7914158221 (ExtendedPoll#37)
	2695	(	2 0 4152.8897041652 2 5847.1102957121 )	53.7914158212 (ExtendedPoll#37)
	2698	(	2 0 4152.8897042523 2 5847.1102956349 )	53.7914158212 (ExtendedPoll#37)
	2699	(	2 0 4152.8897045137 2 5847.1102954032 )	53.7914158210 (ExtendedPoll#37)
	2700	(	2 0 4152.8897048775 2 5847.1102951127 )	53.7914158204 (ExtendedPoll#37)
	2760	(	3 0 3333.3333333249 2 3333.3333333165 1 3333.3333333555 )	47.1682905221
	2761	(	3 0 3333.3333332996 2 3333.3333332658 1 3333.3333334220 )	47.1682905221
	2762	(	3 0 3333.3333331985 2 3333.3333330633 1 3333.3333336880 )	47.1682905221
	2763	(	3 0 3333.3333327939 2 3333.3333322533 1 3333.3333347518 )	47.1682905219
	2764	(	3 0 3333.3333311757 2 3333.3333290134 1 3333.3333390073 )	47.1682905212
	2765	(	3 0 3333.3333247026 2 3333.3333160534 1 3333.3333560290 )	47.1682905185
	2766	(	3 0 3333.3332988105 2 3333.3332642138 1 3333.3334241161 )	47.1682905075
	2767	(	3 0 3333.3331952421 2 3333.3330568551 1 3333.3336964646 )	47.1682904637
	2768	(	3 0 3333.3327809684 2 3333.3322274206 1 3333.3347858583 )	47.1682902884
	2769	(	3 0 3333.3311238738 2 3333.3289096824 1 3333.3391434333 )	47.1682895873
	2770	(	3 0 3333.3244954951 2 3333.3156387294 1 3333.3565737331 )	47.1682867830
	2771	(	3 0 3333.2979819803 2 3333.2625549176 1 3333.4262949324 )	47.1682755667
	2772	(	3 0 3333.1919279212 2 3333.0502196704 1 3333.7051797296 )	47.1682307194
	2773	(	3 0 3332.7677116849 2 3332.2008786818 1 3334.8207189184 )	47.1680516124
	2774	(	3 0 3331.0708467397 2 3328.8035147270 1 3339.2828756735 )	47.1673397044
	2775	(	3 0 3324.2833869587 2 3315.2140589080 1 3357.1315026938 )	47.1645644377
	2776	(	3 0 3297.1335478348 2 3260.8562356320 1 3428.5260107754 )	47.1546240959
	2777	(	3 0 3188.5341913391 2 3043.4249425281 1 3714.1040431015 )	47.1336301248
	2782	(	3 0 3188.5440963277 2 3043.4291749044 1 3714.1116982164 )	47.1334189419
	2783	(	3 0 3188.5738112936 2 3043.4418720333 1 3714.1346635611 )	47.1327853954
	2784	(	3 0 3188.6926711573 2 3043.4926605491 1 3714.2265249397 )	47.1302512441
	2785	(	3 0 3189.1681106120 2 3043.6958146122 1 3714.5939704540 )	47.1201151932
	2786	(	3 0 3191.0698684310 2 3044.5084308647 1 3716.0637525116 )	47.0795798665
	2787	(	3 0 3198.6768997067 2 3047.7588958743 1 3721.9428807416 )	46.9175811367
	2788	(	3 0 3198.8948848743 2 3047.5863280381 1 3722.3442473958 )	46.9131329647
	2789	(	3 0 3199.5488403769 2 3047.0686245294 1 3723.5483473581 )	46.8997895433
	2790	(	3 0 3202.1646623876 2 3044.9978104945 1 3728.3647472073 )	46.8464322782
	2791	(	3 0 3212.6279504301 2 3036.7145543550 1 3747.6303466044 )	46.6332660653
	2802	(	2 0 4900.6584516792 2 5075.3512624213 )	55.7642295241 (ExtendedPoll#39)
	2803	(	2 0 4607.1745296323 2 5305.9457726010 )	55.4472050367 (ExtendedPoll#39)
	2809	(	2 0 4509.3465556167 2 5389.7983217572 )	55.3312037272 (ExtendedPoll#39)
	2810	(	2 0 4215.8626335698 2 5641.3559692260 )	55.2227885943 (ExtendedPoll#39)
	2812	(	2 0 3880.4524369449 2 6088.5695647259 )	54.1867250496 (ExtendedPoll#39)
	2821	(	2 0 3865.6035480318 2 6116.0836824178 )	54.0994049526 (ExtendedPoll#39)
	2826	(	2 0 3858.1791035753 2 6129.8407412638 )	54.0570067200 (ExtendedPoll#39)
	2831	(	2 0 3865.9856885553 2 6129.2948262302 )	53.9862513494 (ExtendedPoll#39)
	2837	(	2 0 3867.9219809400 2 6129.0355165892 )	53.9697415456 (ExtendedPoll#39)
	2838	(	2 0 3871.2247668931 2 6126.9473915858 )	53.9552082161 (ExtendedPoll#39)
	2843	(	2 0 3872.9461052333 2 6126.0261599667 )	53.9462662728 (ExtendedPoll#39)
	2847	(	2 0 3873.9223548519 2 6126.0547352067 )	53.9366367060 (ExtendedPoll#39)
	2859	(	2 0 3873.9150839053 2 6126.0681502590 )	53.9365956057 (ExtendedPoll#39)
	2860	(	2 0 3873.9023656577 2 6126.0958912493 )	53.9364883221 (ExtendedPoll#39)
	2867	(	2 0 3873.8992381518 2 6126.1002869850 )	53.9364820231 (ExtendedPoll#39)
	2878	(	2 0 3873.8993365564 2 6126.1005041485 )	53.9364792786 (ExtendedPoll#39)
	2882	(	2 0 3873.8994440785 2 6126.1004526718 )	53.9364786703 (ExtendedPoll#39)
	2885	(	2 0 3873.8995441434 2 6126.1003878808 )	53.9364782440 (ExtendedPoll#39)
	2886	(	2 0 3873.8997141999 2 6126.1002207754 )	53.9364779912 (ExtendedPoll#39)
	2887	(	2 0 3873.9002243693 2 6126.0997194591 )	53.9364772329 (ExtendedPoll#39)
	2888	(	2 0 3873.9022650468 2 6126.0977141941 )	53.9364741996 (ExtendedPoll#39)
	2895	(	2 0 3873.9023564295 2 6126.0976376432 )	53.9364739541 (ExtendedPoll#39)
	2904	(	2 0 3873.9023666523 2 6126.0976268016 )	53.9364739455 (ExtendedPoll#39)
	2905	(	2 0 3873.9023973206 2 6126.0975942769 )	53.9364739197 (ExtendedPoll#39)
	2906	(	2 0 3873.9025199938 2 6126.0974641781 )	53.9364738164 (ExtendedPoll#39)
	2907	(	2 0 3873.9030106867 2 6126.0969437827 )	53.9364734034 (ExtendedPoll#39)
	2908	(	2 0 3873.9049734581 2 6126.0948622015 )	53.9364717515 (ExtendedPoll#39)
	2909	(	2 0 3873.9128245438 2 6126.0865358764 )	53.9364651438 (ExtendedPoll#39)
	2910	(	2 0 3873.9442288869 2 6126.0532305760 )	53.9364387171 (ExtendedPoll#39)
	2911	(	2 0 3874.0698462589 2 6125.9200093744 )	53.9363330745 (ExtendedPoll#39)
	2912	(	2 0 3874.5723157471 2 6125.3871245682 )	53.9359115277 (ExtendedPoll#39)
	2913	(	2 0 3876.5821937000 2 6123.2555853431 )	53.9342417174 (ExtendedPoll#39)
	2914	(	2 0 3884.6217055116 2 6114.7294284431 )	53.9278243645 (ExtendedPoll#39)
	2915	(	2 0 3916.7797527577 2 6080.6248008429 )	53.9063357782 (ExtendedPoll#39)
	2916	(	2 0 4045.4119417422 2 5944.2062904420 )	53.8866188839 (ExtendedPoll#39)
	2919	(	2 0 4045.5215045970 2 5944.2601089211 )	53.8851192623 (ExtendedPoll#39)
	2920	(	2 0 4045.8501931615 2 5944.4215643586 )	53.8806205222 (ExtendedPoll#39)
	2921	(	2 0 4047.1649474193 2 5945.0673861082 )	53.8626274298 (ExtendedPoll#39)
	2922	(	2 0 4048.1386380613 2 5945.1403169447 )	53.8529449201 (ExtendedPoll#39)
	2923	(	2 0 4051.0597099870 2 5945.3591094543 )	53.8239051878 (ExtendedPoll#39)
	2926	(	2 0 4052.9055851942 2 5944.7227772433 )	53.8125206018 (ExtendedPoll#39)
	2931	(	2 0 4053.8541125651 2 5944.9547911326 )	53.8016493716 (ExtendedPoll#39)
	2934	(	2 0 4054.7420774868 2 5944.5483403302 )	53.7970783073 (ExtendedPoll#39)
	2940	(	2 0 4055.1565250914 2 5944.8064771068 )	53.7909201097 (ExtendedPoll#39)
	2949	(	2 0 4055.1705529195 2 5944.8124812684 )	53.7907362425 (ExtendedPoll#39)
	2954	(	2 0 4055.1759264999 2 5944.8178972016 )	53.7906378043 (ExtendedPoll#39)
	2955	(	2 0 4055.1662131965 2 5944.8296651001 )	53.7906219881 (ExtendedPoll#39)
	2959	(	2 0 4055.1612269352 2 5944.8354395879 )	53.7906162644 (ExtendedPoll#39)
	2960	(	2 0 4055.1462681513 2 5944.8527630512 )	53.7905990941 (ExtendedPoll#39)
	2966	(	2 0 4055.1439936051 2 5944.8558254594 )	53.7905926341 (ExtendedPoll#39)
	2972	(	2 0 4055.1459887350 2 5944.8540101306 )	53.7905904735 (ExtendedPoll#39)
	2994	(	2 0 4055.1459891780 2 5944.8540106179 )	53.7905904650 (ExtendedPoll#39)
	2996	(	2 0 4055.1459895782 2 5944.8540103798 )	53.7905904635 (ExtendedPoll#39)
	3007	(	2 0 4055.1459895943 2 5944.8540104040 )	53.7905904631 (ExtendedPoll#39)
	3013	(	3 0 3210.5286604494 2 3038.4216692843 1 3750.4447793258 )	46.6015154107
	3024	(	2 0 4692.2382076236 2 5223.3043522798 )	55.6902400114 (ExtendedPoll#40)
	3032	(	2 0 4751.6337632759 2 5242.5205614614 )	54.9900785314 (ExtendedPoll#40)
	3041	(	2 0 4744.8371211080 2 5251.2279062468 )	54.9451839171 (ExtendedPoll#40)
	3042	(	2 0 4735.4473825306 2 5263.6747690122 )	54.8789033947 (ExtendedPoll#40)
	3051	(	2 0 4734.9854872326 2 5264.5350116862 )	54.8728327514 (ExtendedPoll#40)
	3052	(	2 0 4733.7844741588 2 5266.0755156716 )	54.8649914704 (ExtendedPoll#40)
	3057	(	2 0 4733.0120896855 2 5266.6730367357 )	54.8644320425 (ExtendedPoll#40)
	3058	(	2 0 4730.6949362657 2 5268.4655999279 )	54.8627657851 (ExtendedPoll#40)
	3059	(	2 0 4721.4263225864 2 5275.6358526969 )	54.8562814361 (ExtendedPoll#40)
	3060	(	2 0 4684.3518678691 2 5304.3168637731 )	54.8332529571 (ExtendedPoll#40)
	3061	(	2 0 4536.0540490000 2 5419.0409080777 )	54.7888275928 (ExtendedPoll#40)
	3064	(	2 0 4533.8703888657 2 5450.0488819844 )	54.4714998393 (ExtendedPoll#40)
	3067	(	2 0 4509.4133953618 2 5469.7018231929 )	54.4660067399 (ExtendedPoll#40)
	3068	(	2 0 4436.0424148501 2 5528.6606468184 )	54.4633610125 (ExtendedPoll#40)
	3071	(	2 0 4390.6222840571 2 5570.5869213965 )	54.4160608763 (ExtendedPoll#40)
	3072	(	2 0 4254.3618916782 2 5696.3657451309 )	54.3333134172 (ExtendedPoll#40)
	3076	(	2 0 4163.5216300923 2 5787.2060067168 )	54.2619287838 (ExtendedPoll#40)
	3082	(	2 0 4151.2931333404 2 5848.3484904766 )	53.7943165716 (ExtendedPoll#40)
	3098	(	2 0 4151.1660641526 2 5848.5569671112 )	53.7935193903 (ExtendedPoll#40)
	3099	(	2 0 4150.7848565894 2 5849.1823970151 )	53.7911289956 (ExtendedPoll#40)
	3104	(	2 0 4150.6155109737 2 5849.3582466966 )	53.7910215159 (ExtendedPoll#40)
	3105	(	2 0 4150.1074741268 2 5849.8857957410 )	53.7907001042 (ExtendedPoll#40)
	3120	(	2 0 4150.1089861817 2 5849.8869583539 )	53.7906755049 (ExtendedPoll#40)
	3121	(	2 0 4150.1127107275 2 5849.8861339310 )	53.7906493993 (ExtendedPoll#40)
	3125	(	2 0 4150.1143060889 2 5849.8850885612 )	53.7906446904 (ExtendedPoll#40)
	3126	(	2 0 4150.1171485655 2 5849.8825445004 )	53.7906426731 (ExtendedPoll#40)
	3132	(	2 0 4150.1178834653 2 5849.8819367039 )	53.7906416845 (ExtendedPoll#40)
	3143	(	2 0 4150.1179323692 2 5849.8819026286 )	53.7906415591 (ExtendedPoll#40)
	3144	(	2 0 4150.1180790807 2 5849.8818004026 )	53.7906411831 (ExtendedPoll#40)
	3145	(	2 0 4150.1182616331 2 5849.8816470466 )	53.7906409597 (ExtendedPoll#40)
	3146	(	2 0 4150.1188092902 2 5849.8811869788 )	53.7906402897 (ExtendedPoll#40)
	3160	(	2 0 4150.1188123412 2 5849.8811848413 )	53.7906402820 (ExtendedPoll#40)
	3161	(	2 0 4150.1188214943 2 5849.8811784287 )	53.7906402588 (ExtendedPoll#40)
	3171	(	2 0 4150.1188216858 2 5849.8811782962 )	53.7906402583 (ExtendedPoll#40)
	3198	(	2 0 4999.8309411913 2 5000.1672333819 )	55.9009656850 (ExtendedPoll#41)
	3200	(	2 0 4999.4491205399 2 5000.4715383635 )	55.9002031428 (ExtendedPoll#41)
	3201	(	2 0 4998.3036585857 2 5001.3844533083 )	55.8979182003 (ExtendedPoll#41)
	3202	(	2 0 4993.7218107688 2 5005.0361130876 )	55.8888187275 (ExtendedPoll#41)
	3203	(	2 0 4975.3944195012 2 5019.6427522045 )	55.8530679233 (ExtendedPoll#41)
	3204	(	2 0 4902.0848544307 2 5078.0693086723 )	55.7205670458 (ExtendedPoll#41)
	3205	(	2 0 4608.8465941490 2 5311.7755345433 )	55.3681229992 (ExtendedPoll#41)
	3207	(	2 0 4583.9528686182 2 5330.5550116980 )	55.3637996156 (ExtendedPoll#41)
	3208	(	2 0 4509.2716920260 2 5386.8934431624 )	55.3635911500 (ExtendedPoll#41)
	3210	(	2 0 4432.4068552994 2 5484.7214171780 )	54.9584061960 (ExtendedPoll#41)
	3211	(	2 0 4201.8123451197 2 5778.2053392249 )	54.0036331278 (ExtendedPoll#41)
	3223	(	2 0 4200.8569938110 2 5785.9573327015 )	53.9378132020 (ExtendedPoll#41)
	3224	(	2 0 4192.2315362806 2 5799.0592935072 )	53.8900546358 (ExtendedPoll#41)
	3232	(	2 0 4194.7836890625 2 5802.0140586264 )	53.8389301385 (ExtendedPoll#41)
	3234	(	2 0 4192.4430783561 2 5805.1394221936 )	53.8302201837 (ExtendedPoll#41)
	3235	(	2 0 4185.4212462368 2 5814.5155128951 )	53.8043694686 (ExtendedPoll#41)
	3251	(	2 0 4185.4407963358 2 5814.5389460247 )	53.8039710219 (ExtendedPoll#41)
	3257	(	2 0 4185.4480076188 2 5814.5364550417 )	53.8039296544 (ExtendedPoll#41)
	3258	(	2 0 4185.4696414679 2 5814.5289820924 )	53.8038055528 (ExtendedPoll#41)
	3261	(	2 0 4185.4807342197 2 5814.5185044072 )	53.8038049529 (ExtendedPoll#41)
	3270	(	2 0 4185.4816714853 2 5814.5183282598 )	53.8037981763 (ExtendedPoll#41)
	3288	(	2 0 4185.4816706336 2 5814.5183292645 )	53.8037981745 (ExtendedPoll#41)
	3292	(	2 0 4185.4816710094 2 5814.5183289895 )	53.8037981737 (ExtendedPoll#41)
	3309	(	2 0 4901.8695805142 2 5076.5623912563 )	55.7402643064 (ExtendedPoll#42)
	3310	(	2 0 4608.3856584673 2 5307.1569014360 )	55.4236611469 (ExtendedPoll#42)
	3318	(	2 0 4606.6387303599 2 5338.1648753428 )	55.0917439291 (ExtendedPoll#42)
	3319	(	2 0 4589.1694492857 2 5397.5604309951 )	54.5804183615 (ExtendedPoll#42)
	3325	(	2 0 4562.9655276744 2 5433.3724571972 )	54.4082368778 (ExtendedPoll#42)
	3326	(	2 0 4514.0515406666 2 5471.8048755605 )	54.4043973012 (ExtendedPoll#42)
	3333	(	2 0 4527.6994165058 2 5464.1620650905 )	54.3714868324 (ExtendedPoll#42)
	3340	(	2 0 4526.1776783497 2 5467.7582803742 )	54.3456878637 (ExtendedPoll#42)
	3341	(	2 0 4521.0733727858 2 5473.6814584884 )	54.3251632561 (ExtendedPoll#42)
	3342	(	2 0 4505.7604560942 2 5491.4509928311 )	54.2645642604 (ExtendedPoll#42)
	3346	(	2 0 4501.4477273290 2 5497.9746774822 )	54.2316163720 (ExtendedPoll#42)
	3348	(	2 0 4495.7156194766 2 5503.2973490595 )	54.2235944245 (ExtendedPoll#42)
	3349	(	2 0 4478.5192959191 2 5519.2653637914 )	54.2004433791 (ExtendedPoll#42)
	3350	(	2 0 4409.7340016894 2 5583.1374227190 )	54.1217038236 (ExtendedPoll#42)
	3351	(	2 0 4134.5928247705 2 5838.6256584295 )	54.0371198163 (ExtendedPoll#42)
	3353	(	2 0 4057.7279880439 2 5936.4536324451 )	53.8423122971 (ExtendedPoll#42)
	3358	(	2 0 4036.3281187280 2 5959.1636978416 )	53.8369788559 (ExtendedPoll#42)
	3366	(	2 0 4033.2436987883 2 5966.3424805330 )	53.8016467560 (ExtendedPoll#42)
	3376	(	2 0 4033.3453648009 2 5966.5644451074 )	53.7987246325 (ExtendedPoll#42)
	3380	(	2 0 4033.4533282953 2 5966.5074812194 )	53.7982274597 (ExtendedPoll#42)
	3387	(	2 0 4033.4322917074 2 5966.5295898786 )	53.7982263075 (ExtendedPoll#42)
	3388	(	2 0 4033.3691819436 2 5966.5959158563 )	53.7982228672 (ExtendedPoll#42)
	3389	(	2 0 4033.1167428886 2 5966.8612197669 )	53.7982093544 (ExtendedPoll#42)
	3397	(	2 0 4033.1071823367 2 5966.8731120948 )	53.7981924297 (ExtendedPoll#42)
	3398	(	2 0 4033.0785006809 2 5966.9087890783 )	53.7981416597 (ExtendedPoll#42)
	3403	(	2 0 4033.0925954613 2 5966.9029438115 )	53.7980625663 (ExtendedPoll#42)
	3408	(	2 0 4033.0991795212 2 5966.8990892331 )	53.7980356267 (ExtendedPoll#42)
	3418	(	2 0 4033.0989658428 2 5966.8995155138 )	53.7980338197 (ExtendedPoll#42)
	3419	(	2 0 4033.0983248077 2 5966.9007943557 )	53.7980283990 (ExtendedPoll#42)
	3422	(	2 0 4033.0980226539 2 5966.9016988988 )	53.7980231575 (ExtendedPoll#42)
	3430	(	2 0 4033.0981418065 2 5966.9016952224 )	53.7980220818 (ExtendedPoll#42)
	3432	(	2 0 4033.0982490223 2 5966.9016431107 )	53.7980215482 (ExtendedPoll#42)
	3436	(	2 0 4033.0983032868 2 5966.9016184516 )	53.7980212629 (ExtendedPoll#42)
	3437	(	2 0 4033.0983898253 2 5966.9015364642 )	53.7980211876 (ExtendedPoll#42)
	3438	(	2 0 4033.0986494409 2 5966.9012905019 )	53.7980209620 (ExtendedPoll#42)
	3439	(	2 0 4033.0996879031 2 5966.9003066526 )	53.7980200592 (ExtendedPoll#42)
	3447	(	2 0 4033.0996674107 2 5966.9003282915 )	53.7980200572 (ExtendedPoll#42)
	3448	(	2 0 4033.0996059334 2 5966.9003932080 )	53.7980200513 (ExtendedPoll#42)
	3463	(	2 0 4033.0996058034 2 5966.9003936551 )	53.7980200485 (ExtendedPoll#42)
	3470	(	2 0 4033.0996061081 2 5966.9003937799 )	53.7980200446 (ExtendedPoll#42)
	3474	(	2 0 4033.0996062242 2 5966.9003937721 )	53.7980200436 (ExtendedPoll#42)
	3482	(	3 0 3210.2889578675 2 3039.3458759311 1 3750.2389595149 )	46.5961289316
	3490	(	2 0 4552.7233011568 2 5335.3470932817 )	55.5692389089 (ExtendedPoll#43)
	3494	(	2 0 4440.9199022818 2 5558.9538910317 )	54.1048755479 (ExtendedPoll#43)
	3516	(	2 0 4440.9496420561 2 5559.0071913847 )	54.1040659660 (ExtendedPoll#43)
	3520	(	2 0 4440.9365610370 2 5559.0347632759 )	54.1038907469 (ExtendedPoll#43)
	3521	(	2 0 4440.8905377740 2 5559.0748522452 )	54.1038670525 (ExtendedPoll#43)
	3522	(	2 0 4440.7524679852 2 5559.1951191530 )	54.1037960247 (ExtendedPoll#43)
	3523	(	2 0 4440.2001888298 2 5559.6761867843 )	54.1035127440 (ExtendedPoll#43)
	3524	(	2 0 4437.9910722084 2 5561.6004573097 )	54.1023929098 (ExtendedPoll#43)
	3525	(	2 0 4429.1546057226 2 5569.2975394109 )	54.0981264568 (ExtendedPoll#43)
	3526	(	2 0 4393.8087397796 2 5600.0858678158 )	54.0844835555 (ExtendedPoll#43)
	3529	(	2 0 4394.2113521169 2 5603.9686884921 )	54.0411680120 (ExtendedPoll#43)
	3530	(	2 0 4388.9432720429 2 5609.7553878479 )	54.0274056417 (ExtendedPoll#43)
	3535	(	2 0 4388.0032745945 2 5611.4664902813 )	54.0180260116 (ExtendedPoll#43)
	3538	(	2 0 4386.7886136448 2 5612.9967583598 )	54.0128824739 (ExtendedPoll#43)
	3544	(	2 0 4386.4467770046 2 5613.3454189378 )	54.0122750804 (ExtendedPoll#43)
	3545	(	2 0 4385.4212670842 2 5614.3914006721 )	54.0104567213 (ExtendedPoll#43)
	3546	(	2 0 4381.3192274022 2 5618.5753276090 )	54.0032406382 (ExtendedPoll#43)
	3549	(	2 0 4380.5784036418 2 5619.2116598200 )	54.0031640007 (ExtendedPoll#43)
	3550	(	2 0 4378.3559323606 2 5621.1206564531 )	54.0029484717 (ExtendedPoll#43)
	3551	(	2 0 4369.4660472359 2 5628.7566429851 )	54.0023023644 (ExtendedPoll#43)
	3559	(	2 0 4369.5969815447 2 5629.7243626813 )	53.9913292971 (ExtendedPoll#43)
	3562	(	2 0 4369.6824940167 2 5630.2051304326 )	53.9857012024 (ExtendedPoll#43)
	3569	(	2 0 4369.6472614388 2 5630.3220036975 )	53.9848193694 (ExtendedPoll#43)
	3572	(	2 0 4369.6050333250 2 5630.3660727419 )	53.9847380922 (ExtendedPoll#43)
	3573	(	2 0 4369.4783489833 2 5630.4982798750 )	53.9844943213 (ExtendedPoll#43)
	3574	(	2 0 4368.9716116168 2 5631.0271084078 )	53.9835201449 (ExtendedPoll#43)
	3578	(	2 0 4368.8845997443 2 5631.1127275039 )	53.9834056991 (ExtendedPoll#43)
	3579	(	2 0 4368.6235641269 2 5631.3695847921 )	53.9830625988 (ExtendedPoll#43)
	3580	(	2 0 4367.5794216571 2 5632.3970139452 )	53.9816937566 (ExtendedPoll#43)
	3581	(	2 0 4363.4028517782 2 5636.5067305573 )	53.9762753650 (ExtendedPoll#43)
	3582	(	2 0 4346.6965722627 2 5652.9455970056 )	53.9555155106 (ExtendedPoll#43)
	3583	(	2 0 4279.8714542003 2 5718.7010627990 )	53.8872266051 (ExtendedPoll#43)
	3584	(	2 0 4012.5709819511 2 5981.7229259727 )	53.8578815474 (ExtendedPoll#43)
	3586	(	2 0 4003.8363414140 2 5994.7157037717 )	53.8249871296 (ExtendedPoll#43)
	3594	(	2 0 4003.0106449257 2 5996.4848096773 )	53.8171655728 (ExtendedPoll#43)
